nome,cognome,data_nascita
Elena,Conti,2008-08-14
Karim,Giordano,2008-11-18
Antonio,Barbieri,2005-11-20
Federico,Mancini,2012-02-15
Paolo,Moretti,2006-05-28
Claudia,Fontana,2011-11-22
Giovanni,Ricci,2010-08-21
Ilaria,Conti,2011-08-22
Rosa,Gallo,2006-12-03
Marta,Benali,2011-10-15
Maria,Mansouri,2005-06-18
Omar,Bianchi,2005-11-29
Giulia,Khalil,2011-06-21
Federico,Khalil,2007-05-14
Fatima,Mansouri,2009-09-03
Federica,Ait Lahcen,2005-05-05
Samuele,Ait Lahcen,2011-02-13
Riccardo,Khalil,2008-05-22
Nicolas,Rizzo,2012-09-06
Noemi,Fontana,2010-02-01
Francesco,Sabbah,2005-09-03
Elena,Longo,2009-08-30
Nicolas,Gentile,2007-04-16
Maria,Fassi,2006-08-12
Anna,Santoro,2008-11-15
Noemi,Bruno,2009-02-26
Michele,Haddad,2006-03-11
Anna,Rizzo,2010-03-26
Davide,Moretti,2010-01-16
Simone,Gallo,2006-02-01
Sara,Barbieri,2009-04-23
Ines,Benali,2009-09-09
Simone,Conti,2008-09-03
Pietro,Santoro,2007-02-17
Nadia,Conti,2010-08-03
Michele,Gentile,2010-08-05
Maya,Fontana,2010-07-31
Marco,Ricci,2009-05-30
Michele,Gentile,2007-09-14
Aurora,Rachidi,2008-12-16
Sara,Romano,2008-02-27
Samuele,Fassi,2012-05-03
Eleonora,Martinelli,2008-03-16
Giovanni,Rossi,2006-03-17
Emma,Bruno,2007-12-20
Amir,Serra,2009-07-10
Beatrice,Esposito,2009-06-29
Sara,Mansouri,2011-04-21
Giorgia,Serra,2011-03-17
Riccardo,Colombo,2009-05-02
Michele,Longo,2011-03-03
Lorenzo,Benali,2012-08-18
Federica,Greco,2006-06-12
Matteo,Rinaldi,2009-03-09
Amina,Mariani,2011-04-04
Beatrice,Gallo,2007-03-27
Laura,Lombardo,2009-07-03
Michele,Esposito,2005-07-05
Giulia,Bruno,2008-09-26
Mohamed,Martinelli,2010-10-29
Tommaso,Gallo,2011-10-20
Lina,Lombardo,2006-07-27
Anna,Benali,2008-07-28
Elena,Rinaldi,2011-12-01
Mehdi,Fontana,2011-08-29
Maria,Lombardo,2010-09-19
Giovanni,Vitale,2012-12-12
Pietro,Fontana,2010-04-30
Omar,Bianchi,2009-02-17
Maria,Cherkaoui,2006-03-25
Alice,Rachidi,2008-06-14
Amina,Sabbah,2012-01-22
Marco,Fassi,2010-04-28
Federico,Khalil,2011-06-28
Pietro,Giordano,2005-07-30
Rosa,Martinelli,2006-11-30
Antonio,Ait Lahcen,2011-12-14
Fatima,Farina,2006-08-29
Omar,Cherkaoui,2007-09-20
Giulia,Mansouri,2012-11-09
Davide,Mancini,2005-03-19
Leonardo,Santoro,2009-09-12
Martina,Caruso,2012-09-29
Aurora,Caruso,2010-08-18
Fatima,Benali,2010-04-16
Ines,Romano,2012-11-30
Chiara,El Amrani,2007-04-30
Paolo,Santoro,2012-06-05
Nicolas,El Amrani,2009-03-24
Anna,De Luca,2010-02-26
Nora,Bennani,2008-11-03
Giovanni,Ferrari,2012-07-31
Fatima,Cherkaoui,2012-03-19
Mohamed,Sabbah,2007-12-19
Federica,Martinelli,2007-02-27
Simone,Moretti,2011-04-05
Gabriele,Giordano,2008-05-04
Fatima,Barbieri,2012-11-27
Aurora,Sabbah,2012-11-27
Samuele,Santoro,2010-05-20
Valentina,Haddad,2008-01-26
Riccardo,Greco,2011-06-07
Eleonora,Bennani,2009-04-05
Lina,Rinaldi,2008-11-14
Fatima,Gallo,2008-04-04
Giulia,Barbieri,2005-11-20
Valentina,Longo,2012-05-10
Federico,Martinelli,2007-05-27
Giorgia,Bennani,2008-01-16
Paolo,Sabbah,2008-01-18
Chiara,Marino,2011-11-27
Mehdi,Rachidi,2007-09-08
Simone,Romano,2012-07-06
Lina,El Amrani,2007-07-14
Claudia,Giordano,2005-08-04
Matteo,Caruso,2008-09-14
Karim,Martinelli,2006-02-16
Eleonora,Bruno,2005-01-22
Paolo,Conti,2009-07-25
Ilaria,Martinelli,2010-05-10
Ilaria,Mancini,2008-03-22
Anna,Barbieri,2012-03-30
Sara,Ricci,2012-04-25
Pietro,Giordano,2011-01-01
Mehdi,Esposito,2006-12-19
Alice,De Luca,2005-05-29
Rayan,Rinaldi,2010-07-23
Sofia,Barbieri,2005-06-03
Luca,Fontana,2011-05-16
Laura,Marino,2008-10-04
Riccardo,Gentile,2012-03-11
Giovanni,El Amrani,2010-07-17
Maya,Bruno,2010-08-28
Tommaso,Moretti,2007-03-01
Mohamed,Greco,2008-09-16
Elena,Gentile,2012-04-09
Federico,De Luca,2005-02-27
Mehdi,Mariani,2008-04-23
Pietro,Cherkaoui,2007-03-03
Sofia,Benali,2012-03-01
Lina,Rinaldi,2009-10-18
Michele,Santoro,2005-12-22
Noemi,Ziani,2006-01-26
Sofia,Bruno,2010-05-10
Anna,Rizzo,2005-01-28
Federico,Farina,2007-08-23
Leonardo,Moretti,2008-09-12
Gabriele,Rachidi,2011-06-05
Luca,Lombardi,2012-05-01
Beatrice,Sabbah,2007-08-26
Sara,Ziani,2006-04-30
Tommaso,Fontana,2006-10-17
Noemi,Cherkaoui,2010-08-21
Lina,Fontana,2012-09-28
Davide,Ait Lahcen,2008-04-23
Beatrice,Benali,2007-06-24
Andrea,Bruno,2010-05-13
Martina,Gentile,2011-10-18
Beatrice,Caruso,2012-11-15
Paolo,Martinelli,2011-01-11
Mohamed,Ziani,2007-06-14
Nadia,Rizzo,2012-08-18
Nadia,Fassi,2005-12-02
Antonio,Longo,2010-12-04
Karim,Serra,2005-11-16
Nora,Mansouri,2006-04-05
Sara,Haddad,2010-09-02
Giorgia,Mansouri,2011-01-08
Martina,Conti,2008-09-05
Adam,El Amrani,2009-12-15
Davide,Cherkaoui,2007-04-22
Karim,Rachidi,2010-06-26
Alessandro,Lombardo,2009-12-30
Mohamed,Romano,2010-02-01
Chiara,Lombardo,2009-08-29
Tommaso,Mansouri,2005-08-25
Paolo,Gentile,2012-07-18
Mohamed,Fontana,2005-03-31
Noemi,Lombardi,2005-01-13
Mehdi,Costa,2011-06-27
